version, 1.0
codebook_name, AIBS_Musmusculus_HY
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730, RS0793, RS0805, RS0820, RS0896, RS0994, RS1047, RS3505, RS3544, RS3583, RS3592, RS3602, RS3791, RS3811, RS1520,RS1199
name, id, barcode
4732456N10Rik, ENSMUST00000023714.4, 0001000100010100000000000000000000000
Ace2, ENSMUST00000073973.4, 0001110000000100000000000000000000000
Adora2a, ENSMUST00000105420.1, 1000000101000001000000000000000000000
Aldh1l1, ENSMUST00000032175.8, 0111000000010000000000000000000000000
Amigo2, uc011zyl.1, 0000000001010110000000000000000000000
Amigo2, ENSMUST00000053106.5, 0000000001010110000000000000000000000
Ano3, ENSMUST00000099623.3, 1000001001100000000000000000000000000
Aqp4, ENSMUST00000079081.6, 1001100001000000000000000000000000000
Ar, ENSMUST00000052837.7, 0001000001001100000000000000000000000
Arhgap36, ENSMUST00000114904.3, 0000001100100001000000000000000000000
Arhgap36, ENSMUST00000042444.6, 0000001100100001000000000000000000000
Avpr1a, ENSMUST00000020323.5, 0010011000010000000000000000000000000
Avpr2, ENSMUST00000101470.2, 1010000100010000000000000000000000000
Baiap2, ENSMUST00000026436.3, 1000100100000010000000000000000000000
Baiap2, ENSMUST00000106233.1, 1000100100000010000000000000000000000
Bdnf, ENSMUST00000053317.5, 0110100010000000000000000000000000000
Bmp7, ENSMUST00000009143.7, 0000110100010000000000000000000000000
Brs3, ENSMUST00000033464.3, 0011000010000010000000000000000000000
Calcr, ENSMUST00000170266.2, 0001000010000101000000000000000000000
Cbln1, ENSMUST00000034076.8, 0010000001100010000000000000000000000
Cbln1, ENSMUST00000169693.1, 0010000001100010000000000000000000000
Cbln2, ENSMUST00000122079.1, 0000001010000011000000000000000000000
Cbln2, ENSMUST00000122464.1, 0000001010000011000000000000000000000
Cbln2, ENSMUST00000068423.3, 0000001010000011000000000000000000000
Cbln2, ENSMUST00000169470.1, 0000001010000011000000000000000000000
Cckar, ENSMUST00000031093.3, 0100000010010010000000000000000000000
Cckbr, ENSMUST00000033189.4, 0000001101000100000000000000000000000
Ccnd2, ENSMUST00000000188.8, 0000100001110000000000000000000000000
Cd24a, ENSMUST00000058714.8, 0000000100001110000000000000000000000
Cdkn1a, ENSMUST00000023829.6, 0000010010010100000000000000000000000
Cenpe, ENSMUST00000062893.7, 0110010000000001000000000000000000000
Chat, ENSMUST00000070125.4, 0010000010011000000000000000000000000
Coch, ENSMUST00000085412.5, 1001000000110000000000000000000000000
Coch, ENSMUST00000164782.2, 1001000000110000000000000000000000000
Col25a1, ENSMUST00000183368.1, 0000001010110000000000000000000000000
Col25a1, ENSMUST00000106353.1, 0000001010110000000000000000000000000
Cplx3, ENSMUST00000045068.8, 0100000100110000000000000000000000000
Cpne5, ENSMUST00000126993.1, 0000000010101100000000000000000000000
Creb3l1, ENSMUST00000028663.4, 0011001000000001000000000000000000000
Crhbp, ENSMUST00000045583.7, 0010000001010001000000000000000000000
Crhr1, ENSMUST00000093925.4, 0010000000110100000000000000000000000
Crhr2, ENSMUST00000003568.8, 1010110000000000000000000000000000000
Cspg5, ENSMUST00000035058.5, 0110001001000000000000000000000000000
Cxcl14, ENSMUST00000021970.9, 0100010100001000000000000000000000000
Cyp19a1, ENSMUST00000034811.7, 1110000000100000000000000000000000000
Cyp26a1, ENSMUST00000025946.5, 0001100010010000000000000000000000000
Cyr61, ENSMUST00000029846.3, 0100110000100000000000000000000000000
Dgkk, ENSMUST00000067410.7, 0100000010100001000000000000000000000
Dgkk, ENSMUST00000145302.1, 0100000010100001000000000000000000000
Ebf3, ENSMUST00000033378.5, 0010001000101000000000000000000000000
Egr2, ENSMUST00000127820.1, 0010101100000000000000000000000000000
Ermn, ENSMUST00000090940.5, 0010001010000100000000000000000000000
Esr1, ENSMUST00000105589.1, 0001010000010001000000000000000000000
Esr1, ENSMUST00000105590.1, 0001010000010001000000000000000000000
Esr1, ENSMUST00000067086.7, 0001010000010001000000000000000000000
Etv1, ENSMUST00000095767.3, 0000000110100010000000000000000000000
Etv1, ENSMUST00000159334.1, 0000000110100010000000000000000000000
Fbxw13, ENSMUST00000173606.1, 0101100000000010000000000000000000000
Fezf1, ENSMUST00000031709.5, 0011100000001000000000000000000000000
Fn1, ENSMUST00000055226.6, 0001000011100000000000000000000000000
Fst, ENSMUST00000022287.5, 1100010010000000000000000000000000000
Gabra1, ENSMUST00000020707.5, 0010000111000000000000000000000000000
Gabrg1, ENSMUST00000031119.1, 0000100001000011000000000000000000000
Gad1, ENSMUST00000094934.4, 0010100000100001000000000000000000000
Gad1, ENSMUST00000140478.1, 0010100000100001000000000000000000000
Galr1, ENSMUST00000065224.6, 0101000000100100000000000000000000000
Galr2, ENSMUST00000055872.2, 0010010100000010000000000000000000000
Gbx2, ENSMUST00000036954.7, 0001101000100000000000000000000000000
Gda, ENSMUST00000121725.1, 0000110010000001000000000000000000000
Gem, ENSMUST00000108304.2, 0000100100101000000000000000000000000
Gem, ENSMUST00000029868.6, 0000100100101000000000000000000000000
Gjc3, ENSMUST00000077119.6, 1001000000000011000000000000000000000
Glra3, ENSMUST00000000275.7, 1011000000000100000000000000000000000
Gpr165, ENSMUST00000033554.4, 0100001000010001000000000000000000000
Greb1, ENSMUST00000048064.9, 0001001100001000000000000000000000000
Greb1, ENSMUST00000162112.1, 0001001100001000000000000000000000000
Grpr, ENSMUST00000033730.2, 0110000000001010000000000000000000000
Htr2c, ENSMUST00000036303.2, 0011000100100000000000000000000000000
Htr2c, ENSMUST00000156697.1, 0011000100100000000000000000000000000
Igf1r, ENSMUST00000005671.8, 0001000000101001000000000000000000000
Igf2r, ENSMUST00000024599.7, 0000010000111000000000000000000000000
Irs4, ENSMUST00000067841.7, 0100101000000100000000000000000000000
Isl1, ENSMUST00000036060.6, 0001010000100010000000000000000000000
Kiss1r, ENSMUST00000045529.2, 1001010000001000000000000000000000000
Klf4, ENSMUST00000107619.2, 0000000001100101000000000000000000000
Lepr, ENSMUST00000106921.2, 1000010001000100000000000000000000000
Lmod1, ENSMUST00000059352.2, 0000100000010101000000000000000000000
Lpar1, ENSMUST00000055018.4, 1010000010000001000000000000000000000
Lpar1, ENSMUST00000107574.1, 1010000010000001000000000000000000000
Lpar1, ENSMUST00000107570.1, 1010000010000001000000000000000000000
Lpar1, ENSMUST00000107575.2, 1010000010000001000000000000000000000
Man1a, ENSMUST00000003843.8, 1010000001001000000000000000000000000
Man1a, ENSMUST00000105470.1, 1010000001001000000000000000000000000
Mc4r, ENSMUST00000057942.2, 0000100110000100000000000000000000000
Mki67, ENSMUST00000033310.7, 0000000110010001000000000000000000000
Mlc1, ENSMUST00000042594.6, 1000000011010000000000000000000000000
Myh11, ENSMUST00000090287.3, 1000011100000000000000000000000000000
Ndnf, ENSMUST00000054351.4, 1100100000000001000000000000000000000
Ndrg1, ENSMUST00000005256.6, 1101000100000000000000000000000000000
Necab1, ENSMUST00000041606.7, 0100000001101000000000000000000000000
Nos1, ENSMUST00000142742.2, 0000000101011000000000000000000000000
Nos1, FR0381630, 0000000101011000000000000000000000000
Npas1, ENSMUST00000002053.8, 1000100000001100000000000000000000000
Npy1r, ENSMUST00000039303.5, 0100000000001101000000000000000000000
Npy2r, ENSMUST00000029633.4, 0100000011000100000000000000000000000
Npy2r, ENSMUST00000098997.4, 0100000011000100000000000000000000000
Npy2r, ENSMUST00000182831.1, 0100000011000100000000000000000000000
Npy2r, ENSMUST00000182181.1, 0100000011000100000000000000000000000
Ntng1, ENSMUST00000156177.2, 1000100010100000000000000000000000000
Ntsr1, ENSMUST00000029084.2, 0101000001000001000000000000000000000
Ntsr1, ENSMUST00000170448.1, 0101000001000001000000000000000000000
Nup62cl, ENSMUST00000101212.2, 0001010110000000000000000000000000000
Omp, ENSMUST00000098281.2, 0010010000001100000000000000000000000
Onecut2, ENSMUST00000115145.3, 0100001110000000000000000000000000000
Onecut2, ENSMUST00000175965.2, 0100001110000000000000000000000000000
Opalin, ENSMUST00000087176.6, 0000000011001001000000000000000000000
Oprd1, ENSMUST00000056336.1, 1100000001000010000000000000000000000
Oprk1, ENSMUST00000160777.1, 0000101011000000000000000000000000000
Oprl1, ENSMUST00000071585.3, 0010000000000111000000000000000000000
Oprl1, ENSMUST00000183693.1, 0010000000000111000000000000000000000
Oprl1, ENSMUST00000126835.1, 0010000000000111000000000000000000000
Oprl1, ENSMUST00000184795.1, 0010000000000111000000000000000000000
Oprl1, ENSMUST00000108763.1, 0010000000000111000000000000000000000
Oprl1, ENSMUST00000108768.1, 0010000000000111000000000000000000000
Oxtr, ENSMUST00000053306.6, 1000101000010000000000000000000000000
Pak3, ENSMUST00000033640.7, 0110000100000100000000000000000000000
Pak3, ENSMUST00000172330.2, 0110000100000100000000000000000000000
