version, 1.0
codebook_name, L26E1
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175,RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548
name, id, barcode
Blank-1, , 0011100000001000
Blank-10, , 1001100100000000
Blank-2, , 0011000100100000
Blank-3, , 0011010001000000
Blank-4, , 0010010000001100
Blank-5, , 0010001000101000
Blank-6, , 1000101000001000
Blank-7, , 0101100000000010
Blank-8, , 0001000001001100
Blank-9, , 0000100100101000
AKAP11, ENST00000025301.3, 0110100010000000
CBX5, ENST00000209875.8, 0110000000001010
CCDC113, ENST00000219299.8, 0000110001001000
CEMIP, ENST00000220244.7, 0000100000001101
SIPA1L3, ENST00000222345.10, 0001110000000100
UMPS, ENST00000232607.6, 0101000010001000
HEATR5B, ENST00000233099.5, 0010000001001001
SLC9A2, ENST00000233969.2, 0001100001000001
YIPF4, ENST00000238831.8, 0000100010001010
LRP1, ENST00000243077.7, 0001000000011010
TMOD2, ENST00000249700.8, 0100100000011000
NOTCH2, ENST00000256646.6, 0011000000000101
THBS1, ENST00000260356.5, 0010110000000001
DNAJC13, ENST00000260818.10, 0001100010010000
HERC2, ENST00000261609.11, 1001000000101000
FAF2, ENST00000261942.6, 0010100000010010
TTPAL, ENST00000262605.8, 0001010000001001
PIK3CA, ENST00000263967.3, 0011000010000010
CBL, ENST00000264033.4, 1011001000000000
AGPS, ENST00000264167.8, 0010100001000100
POLQ, ENST00000264233.5, 0111000000010000
FAM184B, ENST00000265018.3, 0001101000100000
AFF4, ENST00000265343.9, 0010000010011000
ANKRD52, ENST00000267116.7, 0001001100001000
TSPAN3, ENST00000267970.8, 1010000100001000
MYH10, ENST00000269243.8, 1010100000100000
SCUBE3, ENST00000274938.7, 0010101100000000
PHIP, ENST00000275034.4, 0010000100010001
EGFR, ENST00000275493.6, 0000100010100001
SLC7A11, ENST00000280612.9, 0110000000100001
SMARCA5, ENST00000283131.3, 1100100000000001
ANKH, ENST00000284268.6, 0000001000011100
STARD9, ENST00000290607.11, 0000111000000010
USP24, ENST00000294383.6, 0010010100000010
FZD5, ENST00000295417.3, 0101000000100100
FYCO1, ENST00000296137.6, 0001010110000000
BSN, ENST00000296452.4, 1001000000000011
LMTK2, ENST00000297293.5, 0010010010100000
RNF169, ENST00000299563.4, 1010000000000110
DIP2B, ENST00000301180.9, 1110010000000000
SRRM2, ENST00000301740.12, 0001010000100010
PRPF8, ENST00000304992.10, 1001000010000100
FASN, ENST00000306749.2, 1000110010000000
DSEL, ENST00000310045.7, 0000000010101100
ARL10, ENST00000310389.5, 0010001010000100
CKAP5, ENST00000312055.9, 0010000000110100
RNF152, ENST00000312828.3, 0110000100000100
PRKDC, ENST00000314191.6, 1101000001000000
TLN1, ENST00000314888.9, 0000000101011000
TNRC6A, ENST00000315183.11, 1000100000010100
FBN1, ENST00000316623.9, 0100010100001000
IL17RA, ENST00000319363.10, 0000001001001010
CRTAP, ENST00000320954.10, 0100000001101000
MED14, ENST00000324817.5, 0010001000000011
SSH1, ENST00000326495.9, 0100110000100000
FAM208B, ENST00000328090.9, 0000011010001000
PAPPA, ENST00000328252.3, 1001010000010000
KPNA4, ENST00000334256.8, 0101000100000001
TSTD2, ENST00000341170.4, 0001000101000010
PRDM2, ENST00000343137.8, 0000101011000000
RAD51D, ENST00000345365.10, 0100001000001001
PROSER1, ENST00000352251.7, 0001001001010000
SKP1, ENST00000353411.10, 0000100110000100
THSD4, ENST00000355327.7, 0010000001100010
MAN1A2, ENST00000356554.7, 0001000000110001
SPTBN1, ENST00000356805.8, 0001000100010100
IGF2R, ENST00000356956.5, 0010000111000000
PRRC2B, ENST00000357304.8, 0000100000100110
AFAP1, ENST00000358461.6, 0010011000010000
KLHL9, ENST00000359039.4, 0000100100000011
DYNC1H1, ENST00000360184.8, 1010000010000001
ALPK2, ENST00000361673.3, 0000000110001001
CENPF, ENST00000366955.7, 0000101000010001
PTPN14, ENST00000366956.9, 0110001001000000
PLXNA2, ENST00000367033.3, 0000100001110000
TPR, ENST00000367478.8, 0000110100010000
BUB3, ENST00000368865.8, 1000100001000010
ASCC3, ENST00000369162.6, 0101011000000000
RBM20, ENST00000369519.3, 1000000000011001
DOPEY1, ENST00000369739.7, 0000000100001110
RAB3B, ENST00000371655.3, 0001001010000001
COL5A1, ENST00000371817.7, 1010000001010000
GTF3C4, ENST00000372146.4, 0001000011100000
GPR107, ENST00000372410.7, 0100100101000000
UBR2, ENST00000372901.1, 0001001000000110
CHST3, ENST00000373115.4, 1100000000001100
AGO3, ENST00000373191.8, 0100101000000100
ZBTB43, ENST00000373464.4, 0000010000111000
AHDC1, ENST00000374011.6, 0000000000101011
CNR2, ENST00000374472.4, 1000000011001000
KIAA1462, ENST00000375377.1, 1000010000001010
ZCCHC6, ENST00000375963.7, 1000001000000101
USP9X, ENST00000378308.6, 0100000010010010
SLC35B4, ENST00000378509.8, 0100010001010000
XDH, ENST00000379416.3, 1000001010000010
BRCA2, ENST00000380152.7, 0000000100100101
